movie_title;release_date;genre
Snow White and the Seven Dwarfs;1937-12-21;Musical
Pinocchio;1940-02-09;Adventure
Fantasia;1940-11-13;Musical
Song of the South;1946-11-12;Adventure
Cinderella;1950-02-15;Drama
20,000 Leagues Under the Sea;1954-12-23;Adventure
Lady and the Tramp;1955-06-22;Drama
Sleeping Beauty;1959-01-29;Drama
101 Dalmatians;1961-01-25;Comedy
The Absent Minded Professor;1961-03-16;Comedy
Babes in Toyland;1961-12-14;Musical
Bon Voyage!;1962-05-17;Comedy
The Sword in the Stone;1963-12-25;Adventure
The Jungle Book;1967-10-18;Musical
Blackbeard's Ghost;1968-02-08;Comedy
The Aristocats;1970-04-24;Musical
The Boatniks;1970-07-01;Comedy
Bedknobs and Broomsticks;1971-10-07;Musical
The Apple Dumpling Gang;1975-07-01;Comedy
Freaky Friday;1977-01-21;Comedy
The Many Adventures of Winnie the Pooh;1977-03-11;
The Rescuers;1977-06-22;Adventure
Herbie Goes to Monte Carlo;1977-06-24;
The Black Hole;1979-12-21;
Midnight Madness;1980-02-08;
The Last Flight of Noah’s Ark;1980-06-25;
The Devil and Max Devlin;1981-01-01;
Amy;1981-03-20;Drama
The Fox and the Hound;1981-07-10;Comedy
Condorman;1981-08-07;Action
Night Crossing;1982-02-05;Drama
Tron;1982-07-09;Action
Tex;1982-11-19;Drama
Trenchcoat;1983-03-11;Comedy
Something Wicked This Way Comes;1983-04-29;Horror
Never Cry Wolf;1983-10-07;Drama
Running Brave;1983-11-04;Drama
Splash;1984-03-09;Comedy
Country;1984-09-29;Drama
Baby: Secret of the Lost Legend;1985-03-22;Adventure
Return to Oz;1985-06-21;Adventure
The Black Cauldron;1985-07-24;Adventure
My Science Project;1985-08-09;Comedy
The Journey of Natty Gann;1985-09-27;Drama
One Magic Christmas;1985-11-22;Drama
Down and Out in Beverly Hills;1986-01-31;Comedy
Off Beat;1986-04-11;Comedy
Ruthless People;1986-06-27;Comedy
The Great Mouse Detective;1986-07-02;Adventure
Flight of the Navigator;1986-07-30;Adventure
Tough Guys;1986-10-03;Comedy
The Color of Money;1986-10-17;Drama
Outrageous Fortune;1987-01-30;Comedy
Tin Men;1987-03-06;Comedy
Ernest Goes to Camp;1987-05-22;Comedy
Benji the Hunted;1987-06-05;Adventure
Adventures in Babysitting;1987-07-03;Comedy
Stakeout;1987-08-05;Comedy
Can't Buy Me Love;1987-08-14;Romantic Comedy
Hello Again;1987-11-06;Comedy
3 Men and a Baby;1987-11-25;Comedy
Good Morning Vietnam;1987-12-23;Comedy
Shoot to Kill;1988-02-12;Action
D.O.A.;1988-03-18;Thriller/Suspense
Return to Snowy River;1988-04-15;Adventure
Big Business;1988-06-10;Comedy
Who Framed Roger Rabbit?;1988-06-22;Comedy
Cocktail;1988-07-29;Drama
The Rescue;1988-08-05;Action
Heartbreak Hotel;1988-09-30;Comedy
The Good Mother;1988-11-04;Drama
Ernest Saves Christmas;1988-11-11;Comedy
Oliver & Company;1988-11-18;Adventure
Beaches;1988-12-21;Drama
Three Fugitives;1989-01-27;Comedy
New York Stories;1989-03-01;Drama
Disorganized Crime;1989-04-14;Comedy
Dead Poets Society;1989-06-02;Drama
Honey, I Shrunk the Kids;1989-06-23;Adventure
Turner & Hooch;1989-07-28;Comedy
Cheetah;1989-08-18;Adventure
An Innocent Man;1989-10-06;Drama
Gross Anatomy;1989-10-20;Drama
The Little Mermaid;1989-11-15;Adventure
Blaze;1989-12-13;Drama
Stella;1990-02-02;Drama
Where the Heart Is;1990-02-23;Comedy
Pretty Woman;1990-03-23;Romantic Comedy
Ernest Goes to Jail;1990-04-06;Comedy
Spaced Invaders;1990-04-27;Comedy
Fire Birds;1990-05-24;Action
Dick Tracy;1990-06-15;Action
Betsy's Wedding;1990-06-22;Comedy
Arachnophobia;1990-07-18;Thriller/Suspense
DuckTales: The Movie - Treasure of th…;1990-08-03;Adventure
Taking Care of Business;1990-08-17;Comedy
Mr. Destiny;1990-10-12;Comedy
The Rescuers Down Under;1990-11-16;Adventure
3 Men and a Little Lady;1990-11-21;Comedy
Green Card;1990-12-25;Romantic Comedy
White Fang;1991-01-18;Adventure
Scenes from a Mall;1991-02-22;Comedy
Haakon Haakonsen;1991-03-01;Adventure
The Marrying Man;1991-04-05;Romantic Comedy
Oscar;1991-04-26;Comedy
One Good Cop;1991-05-03;Action
What About Bob?;1991-05-17;Comedy
Wild Hearts Can't Be Broken;1991-05-24;Drama
The Rocketeer;1991-06-21;Action
The Doctor;1991-07-24;Drama
Paradise;1991-09-18;Drama
Deceived;1991-09-27;Thriller/Suspense
Ernest Scared Stupid;1991-10-11;Comedy
Billy Bathgate;1991-11-01;Drama
Beauty and the Beast;1991-11-13;Musical
Father of the Bride;1991-12-20;Comedy
The Hand That Rocks the Cradle;1992-01-10;Thriller/Suspense
Medicine Man;1992-02-07;Drama
Blame it on the Bellboy;1992-03-06;Comedy
Noises Off;1992-03-20;Comedy
Straight Talk;1992-04-03;Comedy
Newsies;1992-04-08;
Passed Away;1992-04-24;
Encino Man;1992-05-22;Comedy
Sister Act;1992-05-29;Comedy
Honey I Blew Up the Kid;1992-07-17;Comedy
A Stranger Among Us;1992-07-17;Drama
3 Ninjas;1992-08-07;Action
A Gun in Betty Lou's Handbag;1992-08-21;
Captain Ron;1992-09-18;Comedy
Sarafina!;1992-09-18;Drama
Innocent Blood;1992-09-25;Horror
The Mighty Ducks;1992-10-02;Comedy
1492: Conquest of Paradise;1992-10-09;Adventure
Consenting Adults;1992-10-16;Drama
Aladdin;1992-11-11;Comedy
The Distinguished Gentleman;1992-12-04;Comedy
The Muppet Christmas Carol;1992-12-11;Comedy
Alive;1993-01-15;Adventure
Aspen Extreme;1993-01-22;Romantic Comedy
Homeward Bound: The Incredible Journey;1993-02-03;Adventure
The Cemetery Club;1993-02-03;Comedy
Swing Kids;1993-03-05;Musical
A Far Off Place;1993-03-12;Adventure
Born Yesterday;1993-03-26;Romantic Comedy
The Adventures of Huck Finn;1993-04-02;Adventure
Bound by Honor;1993-04-16;
Indian Summer;1993-04-23;Comedy
Super Mario Bros.;1993-05-28;Action
Guilty as Sin;1993-06-04;Thriller/Suspense
Life With Mikey;1993-06-04;Comedy
What's Love Got to Do With It;1993-06-09;Drama
Son in Law;1993-07-02;Comedy
Hocus Pocus;1993-07-16;Comedy
Another Stakeout;1993-07-23;Comedy
My Boyfriend's Back;1993-08-06;
Father Hood;1993-08-27;
The Joy Luck Club;1993-09-08;Drama
Money for Nothing;1993-09-10;Comedy
The Program;1993-09-24;Action
Cool Runnings;1993-10-01;Comedy
The Nightmare Before Christmas;1993-10-13;Musical
The Three Musketeers;1993-11-12;Adventure
Sister Act 2 Back in the Habit;1993-12-10;Comedy
Tombstone;1993-12-25;Western
The Air Up There;1994-01-07;Comedy
Cabin Boy;1994-01-07;Comedy
Iron Will;1994-01-14;Drama
Red Rock West;1994-01-28;
Blank Check;1994-02-11;Comedy
Angie;1994-03-04;Comedy
The Ref;1994-03-09;Comedy
D2: The Mighty Ducks;1994-03-25;Comedy
Holy Matrimony;1994-04-08;Comedy
White Fang 2: Myth of the White Wolf;1994-04-15;Adventure
The Inkwell;1994-04-22;Comedy
When a Man Loves a Woman;1994-04-29;Drama
3 Ninjas Kick Back;1994-05-06;Action
Renaissance Man;1994-06-03;Comedy
The Lion King;1994-06-15;Adventure
I Love Trouble;1994-06-29;Romantic Comedy
Angels in the Outfield;1994-07-15;Comedy
In the Army Now;1994-08-12;Comedy
Color of Night;1994-08-19;Thriller/Suspense
Camp Nowhere;1994-08-26;Comedy
It's Pat;1994-08-26;Comedy
A Simple Twist of Fate;1994-09-02;Drama
Quiz Show;1994-09-14;Drama
Terminal Velocity;1994-09-23;Action
Ed Wood;1994-09-30;Comedy
The Puppet Masters;1994-10-21;Horror
Squanto: A Warrior's Tale;1994-10-28;Drama
The Santa Clause;1994-11-11;Comedy
A Low Down Dirty Shame;1994-11-23;Action
The Jungle Book;1994-12-25;Adventure
Houseguest;1995-01-06;Comedy
Bad Company;1995-01-20;Thriller/Suspense
Miami Rhapsody;1995-01-27;Romantic Comedy
The Jerky Boys;1995-02-03;Comedy
Heavy Weights;1995-02-17;Comedy
Man of the House;1995-03-03;Comedy
Roommates;1995-03-03;Comedy
Tall Tale;1995-03-24;Western
A Pyromaniac's Love Story;1995-03-28;Romantic Comedy
